,E_NS,E_S,H_NS,H_S,M_NS,M_S
0,100.0,0.0,0.0,0.0,0.0,0.0
1,97.6,1.0999999999999999,1.3,0.0,0.0,0.0
2,94.6,2.0,3.3000000000000003,0.1,0.0,0.0
3,91.60000000000001,2.8000000000000003,5.2,0.2,0.2,0.0
4,87.9,3.5000000000000004,7.9,0.4,0.3,0.0
5,85.5,3.6999999999999997,9.6,0.8,0.4,0.0
6,82.3,4.6,11.4,1.2,0.5,0.0
7,78.9,5.2,13.4,1.3,1.0999999999999999,0.1
8,76.8,5.4,14.7,1.6,1.2,0.3
9,74.1,5.5,16.900000000000002,1.7000000000000002,1.4000000000000001,0.4
10,71.2,5.5,18.9,2.5,1.5,0.4
11,69.6,5.3,20.0,2.8000000000000003,1.7999999999999998,0.5
12,67.30000000000001,5.6000000000000005,21.6,2.6,2.1999999999999997,0.7000000000000001
13,64.7,6.0,22.7,2.9000000000000004,2.8000000000000003,0.8999999999999999
14,62.8,5.8999999999999995,23.7,3.4000000000000004,3.3000000000000003,0.8999999999999999
15,60.699999999999996,5.7,25.3,3.3000000000000003,3.9,1.0999999999999999
16,57.9,6.7,26.5,3.2,4.5,1.2
17,56.89999999999999,6.2,27.1,3.2,5.2,1.4000000000000001
18,54.6,6.1,29.2,3.4000000000000004,5.2,1.5
19,53.400000000000006,5.5,30.099999999999998,3.8,5.4,1.7999999999999998
20,51.9,5.5,30.5,4.2,6.0,1.9
21,50.7,5.2,31.1,4.3999999999999995,6.4,2.1999999999999997
22,49.2,5.0,31.900000000000002,4.5,6.800000000000001,2.6
23,47.3,5.1,32.7,4.9,7.000000000000001,3.0
24,46.300000000000004,4.9,33.2,5.0,7.3999999999999995,3.2
25,44.4,5.1,34.5,4.3,8.4,3.3000000000000003
26,43.1,5.2,34.8,4.3,8.9,3.6999999999999997
27,42.3,4.9,34.8,4.1000000000000005,9.6,4.3
28,40.699999999999996,4.6,36.0,4.1000000000000005,10.2,4.3999999999999995
29,39.4,4.9,36.6,3.9,10.7,4.5
30,37.4,4.8,37.6,4.5,10.7,5.0
31,36.5,4.3999999999999995,37.9,4.5,11.4,5.3
32,35.0,4.2,39.1,4.5,11.5,5.7
33,34.1,4.2,38.800000000000004,4.3,12.4,6.2
34,32.9,3.6999999999999997,39.0,4.9,12.9,6.6000000000000005
35,32.300000000000004,3.5000000000000004,39.300000000000004,4.9,13.4,6.6000000000000005
36,31.6,2.9000000000000004,39.6,5.1,14.099999999999998,6.7
37,30.3,3.3000000000000003,40.300000000000004,5.0,14.099999999999998,7.000000000000001
38,29.599999999999998,3.2,40.400000000000006,4.8,14.6,7.3999999999999995
39,28.199999999999996,3.2,40.8,4.7,15.2,7.9
40,27.0,3.2,41.699999999999996,4.3,15.4,8.4
41,25.7,3.3000000000000003,42.0,4.3,15.9,8.799999999999999
42,24.6,3.5999999999999996,42.199999999999996,4.3999999999999995,16.2,9.0
43,24.099999999999998,3.6999999999999997,42.0,4.5,16.6,9.1
44,23.3,3.2,42.0,4.9,17.4,9.2
45,22.8,3.0,41.9,5.2,17.299999999999997,9.8
46,21.6,3.3000000000000003,42.3,4.9,17.599999999999998,10.299999999999999
47,21.2,2.7,42.199999999999996,4.9,18.5,10.5
48,20.4,2.8000000000000003,42.0,5.0,19.1,10.7
49,19.8,2.3,42.6,4.3999999999999995,19.8,11.1
50,19.2,2.5,42.699999999999996,4.0,20.4,11.200000000000001
51,18.5,2.4,42.8,3.9,21.0,11.4
52,17.9,2.3,42.5,4.2,21.7,11.4
53,17.299999999999997,2.3,42.8,3.6999999999999997,21.8,12.1
54,17.0,2.3,41.8,3.8,22.6,12.5
55,16.3,2.1,41.699999999999996,3.9,23.0,13.0
56,15.6,2.3,41.5,4.1000000000000005,23.1,13.4
57,15.1,2.4,40.9,4.2,23.7,13.700000000000001
58,14.499999999999998,2.5,41.199999999999996,3.5999999999999996,24.099999999999998,14.099999999999998
59,14.099999999999998,2.5,41.199999999999996,3.2,24.7,14.299999999999999
60,13.4,2.1999999999999997,41.6,3.2,25.3,14.299999999999999
