,E_NS,E_S,H_NS,H_S,M_NS,M_S
0,100.0,0.0,0.0,0.0,0.0,0.0
1,98.2,0.0,1.7999999999999998,0.0,0.0,0.0
2,96.39999999999999,0.0,3.5999999999999996,0.0,0.0,0.0
3,94.1,0.0,5.800000000000001,0.0,0.1,0.0
4,91.7,0.0,8.1,0.0,0.2,0.0
5,90.0,0.0,9.700000000000001,0.0,0.3,0.0
6,88.1,0.0,11.5,0.0,0.4,0.0
7,86.0,0.0,13.600000000000001,0.0,0.4,0.0
8,84.0,0.0,15.5,0.0,0.5,0.0
9,82.6,0.0,16.7,0.0,0.7000000000000001,0.0
10,81.3,0.0,17.8,0.0,0.8999999999999999,0.0
11,78.7,0.0,20.3,0.0,1.0,0.0
12,77.5,0.0,21.3,0.0,1.2,0.0
13,75.8,0.0,22.5,0.0,1.7000000000000002,0.0
14,74.5,0.0,23.400000000000002,0.0,2.1,0.0
15,73.1,0.0,24.4,0.0,2.5,0.0
16,71.89999999999999,0.0,25.5,0.0,2.6,0.0
17,70.39999999999999,0.0,26.700000000000003,0.0,2.9000000000000004,0.0
18,68.2,0.0,28.799999999999997,0.0,3.0,0.0
19,66.8,0.0,30.099999999999998,0.0,3.1,0.0
20,65.3,0.0,31.5,0.0,3.2,0.0
21,64.1,0.0,32.300000000000004,0.0,3.5999999999999996,0.0
22,63.1,0.0,33.1,0.0,3.8,0.0
23,62.2,0.0,33.7,0.0,4.1000000000000005,0.0
24,61.3,0.0,34.2,0.0,4.5,0.0
25,59.9,0.0,35.3,0.0,4.8,0.0
26,58.5,0.0,36.6,0.0,4.9,0.0
27,57.49999999999999,0.0,37.0,0.0,5.5,0.0
28,56.2,0.0,37.7,0.0,6.1,0.0
29,54.900000000000006,0.0,38.800000000000004,0.0,6.3,0.0
30,53.800000000000004,0.0,39.300000000000004,0.0,6.9,0.0
31,52.7,0.0,40.1,0.0,7.199999999999999,0.0
32,51.5,0.0,40.9,0.0,7.6,0.0
33,50.2,0.0,41.9,0.0,7.9,0.0
34,49.0,0.0,42.8,0.0,8.200000000000001,0.0
