,E_NS,E_S,H_NS,H_S,M_NS,M_S
35,48.5,0.0,42.9,0.0,8.6,0.0
36,47.599999999999994,0.0,43.8,0.0,8.6,0.0
37,46.800000000000004,0.0,44.5,0.0,8.7,0.0
38,46.0,0.0,45.0,0.0,9.0,0.0
39,45.1,0.0,45.1,0.0,9.8,0.0
40,44.5,0.0,45.2,0.0,10.299999999999999,0.0
41,43.0,0.0,46.300000000000004,0.0,10.7,0.0
42,42.4,0.0,46.400000000000006,0.0,11.200000000000001,0.0
43,41.6,0.0,46.6,0.0,11.799999999999999,0.0
44,41.0,0.0,47.0,0.0,12.0,0.0
45,40.300000000000004,0.0,47.4,0.0,12.3,0.0
46,39.4,0.0,47.5,0.0,13.100000000000001,0.0
47,38.6,0.0,48.0,0.0,13.4,0.0
48,38.4,0.0,47.699999999999996,0.0,13.900000000000002,0.0
49,37.3,0.0,48.4,0.0,14.299999999999999,0.0
50,37.1,0.0,48.1,0.0,14.799999999999999,0.0
51,36.4,0.0,48.5,0.0,15.1,0.0
52,35.6,0.0,49.0,0.0,15.4,0.0
53,35.199999999999996,0.0,48.699999999999996,0.0,16.1,0.0
54,34.5,0.0,48.8,0.0,16.7,0.0
55,33.5,0.0,48.9,0.0,17.599999999999998,0.0
56,33.1,0.0,49.0,0.0,17.9,0.0
57,33.0,0.0,48.6,0.0,18.4,0.0
58,32.5,0.0,48.699999999999996,0.0,18.8,0.0
59,31.8,0.0,48.8,0.0,19.400000000000002,0.0
60,31.0,0.0,49.2,0.0,19.8,0.0
61,30.3,0.0,49.0,0.0,20.7,0.0
62,29.599999999999998,0.0,49.2,0.0,21.2,0.0
63,29.099999999999998,0.0,49.0,0.0,21.9,0.0
64,28.599999999999998,0.0,49.0,0.0,22.400000000000002,0.0
65,28.4,0.0,48.9,0.0,22.7,0.0
66,27.800000000000004,0.0,49.1,0.0,23.1,0.0
67,27.3,0.0,48.9,0.0,23.799999999999997,0.0
68,26.8,0.0,48.9,0.0,24.3,0.0
69,26.400000000000002,0.0,49.0,0.0,24.6,0.0
70,25.900000000000002,0.0,49.2,0.0,24.9,0.0
71,25.7,0.0,49.1,0.0,25.2,0.0
72,25.3,0.0,49.0,0.0,25.7,0.0
73,25.1,0.0,48.6,0.0,26.3,0.0
74,24.8,0.0,48.199999999999996,0.0,27.0,0.0
75,24.5,0.0,48.1,0.0,27.400000000000002,0.0
76,23.599999999999998,0.0,48.6,0.0,27.800000000000004,0.0
77,23.0,0.0,48.8,0.0,28.199999999999996,0.0
78,22.6,0.0,48.9,0.0,28.499999999999996,0.0
79,22.2,0.0,48.699999999999996,0.0,29.099999999999998,0.0
80,21.6,0.0,49.1,0.0,29.299999999999997,0.0
81,21.4,0.0,48.5,0.0,30.099999999999998,0.0
82,21.0,0.0,47.9,0.0,31.1,0.0
83,20.4,0.0,48.199999999999996,0.0,31.4,0.0
84,19.8,0.0,48.199999999999996,0.0,32.0,0.0
85,19.7,0.0,47.9,0.0,32.4,0.0
86,19.0,0.0,47.8,0.0,33.2,0.0
87,18.5,0.0,47.8,0.0,33.7,0.0
88,18.2,0.0,47.8,0.0,34.0,0.0
89,17.599999999999998,0.0,47.599999999999994,0.0,34.8,0.0
90,17.299999999999997,0.0,47.699999999999996,0.0,35.0,0.0
91,17.0,0.0,47.199999999999996,0.0,35.8,0.0
92,16.900000000000002,0.0,47.099999999999994,0.0,36.0,0.0
93,16.3,0.0,47.199999999999996,0.0,36.5,0.0
94,15.8,0.0,47.4,0.0,36.8,0.0
95,15.299999999999999,0.0,47.699999999999996,0.0,37.0,0.0
96,14.799999999999999,0.0,47.9,0.0,37.3,0.0
97,14.399999999999999,0.0,47.599999999999994,0.0,38.0,0.0
98,14.2,0.0,47.099999999999994,0.0,38.7,0.0
99,13.900000000000002,0.0,46.9,0.0,39.2,0.0
100,13.5,0.0,46.9,0.0,39.6,0.0
101,13.3,0.0,46.5,0.0,40.2,0.0
102,13.200000000000001,0.0,45.9,0.0,40.9,0.0
103,13.0,0.0,45.800000000000004,0.0,41.199999999999996,0.0
104,12.6,0.0,45.4,0.0,42.0,0.0
105,12.4,0.0,45.2,0.0,42.4,0.0
106,11.899999999999999,0.0,45.300000000000004,0.0,42.8,0.0
107,11.600000000000001,0.0,45.2,0.0,43.2,0.0
108,11.3,0.0,45.0,0.0,43.7,0.0
109,11.0,0.0,45.0,0.0,44.0,0.0
110,10.7,0.0,44.800000000000004,0.0,44.5,0.0
111,10.6,0.0,44.2,0.0,45.2,0.0
112,10.6,0.0,43.5,0.0,45.9,0.0
113,10.6,0.0,43.0,0.0,46.400000000000006,0.0
114,10.6,0.0,42.6,0.0,46.800000000000004,0.0
115,10.4,0.0,42.6,0.0,47.0,0.0
116,10.299999999999999,0.0,42.199999999999996,0.0,47.5,0.0
117,9.9,0.0,42.199999999999996,0.0,47.9,0.0
118,9.9,0.0,41.8,0.0,48.3,0.0
119,9.700000000000001,0.0,41.5,0.0,48.8,0.0
120,9.5,0.0,41.3,0.0,49.2,0.0
121,9.0,0.0,41.4,0.0,49.6,0.0
122,9.0,0.0,41.3,0.0,49.7,0.0
123,9.0,0.0,40.8,0.0,50.2,0.0
124,8.7,0.0,40.9,0.0,50.4,0.0
125,8.5,0.0,40.300000000000004,0.0,51.2,0.0
126,8.3,0.0,40.300000000000004,0.0,51.4,0.0
127,8.200000000000001,0.0,40.1,0.0,51.7,0.0
128,8.0,0.0,40.0,0.0,52.0,0.0
129,7.8,0.0,39.800000000000004,0.0,52.400000000000006,0.0
130,7.7,0.0,39.4,0.0,52.900000000000006,0.0
131,7.6,0.0,38.9,0.0,53.5,0.0
132,7.3999999999999995,0.0,38.7,0.0,53.900000000000006,0.0
133,7.199999999999999,0.0,38.4,0.0,54.400000000000006,0.0
134,7.000000000000001,0.0,38.2,0.0,54.800000000000004,0.0
135,6.9,0.0,38.1,0.0,55.00000000000001,0.0
136,6.7,0.0,37.9,0.0,55.400000000000006,0.0
137,6.7,0.0,37.3,0.0,56.00000000000001,0.0
138,6.4,0.0,37.4,0.0,56.2,0.0
139,6.3,0.0,37.2,0.0,56.49999999999999,0.0
140,6.2,0.0,36.9,0.0,56.89999999999999,0.0
141,6.1,0.0,36.9,0.0,56.99999999999999,0.0
142,6.1,0.0,36.6,0.0,57.3,0.0
143,5.8999999999999995,0.0,35.8,0.0,58.3,0.0
144,5.800000000000001,0.0,35.199999999999996,0.0,59.0,0.0
145,5.5,0.0,35.0,0.0,59.5,0.0
146,5.4,0.0,34.699999999999996,0.0,59.9,0.0
147,5.2,0.0,34.599999999999994,0.0,60.199999999999996,0.0
148,5.2,0.0,34.300000000000004,0.0,60.5,0.0
149,5.0,0.0,34.1,0.0,60.9,0.0
150,4.9,0.0,33.800000000000004,0.0,61.3,0.0
151,4.8,0.0,33.4,0.0,61.8,0.0
152,4.8,0.0,32.9,0.0,62.3,0.0
153,4.7,0.0,32.800000000000004,0.0,62.5,0.0
154,4.6,0.0,32.5,0.0,62.9,0.0
155,4.6,0.0,31.900000000000002,0.0,63.5,0.0
156,4.6,0.0,31.5,0.0,63.9,0.0
157,4.5,0.0,31.3,0.0,64.2,0.0
158,4.2,0.0,31.4,0.0,64.4,0.0
159,4.2,0.0,31.1,0.0,64.7,0.0
160,4.0,0.0,30.8,0.0,65.2,0.0
161,4.0,0.0,30.4,0.0,65.60000000000001,0.0
162,3.8,0.0,30.0,0.0,66.2,0.0
163,3.8,0.0,29.799999999999997,0.0,66.4,0.0
164,3.5999999999999996,0.0,29.7,0.0,66.7,0.0
165,3.5999999999999996,0.0,29.4,0.0,67.0,0.0
166,3.5000000000000004,0.0,29.5,0.0,67.0,0.0
167,3.3000000000000003,0.0,29.5,0.0,67.2,0.0
168,3.1,0.0,29.2,0.0,67.7,0.0
169,3.1,0.0,29.099999999999998,0.0,67.80000000000001,0.0
170,3.1,0.0,28.799999999999997,0.0,68.10000000000001,0.0
171,3.0,0.0,28.299999999999997,0.0,68.7,0.0
172,3.0,0.0,28.000000000000004,0.0,69.0,0.0
173,3.0,0.0,27.800000000000004,0.0,69.19999999999999,0.0
174,3.0,0.0,27.6,0.0,69.39999999999999,0.0
175,3.0,0.0,27.3,0.0,69.69999999999999,0.0
176,3.0,0.0,27.200000000000003,0.0,69.8,0.0
177,3.0,0.0,27.1,0.0,69.89999999999999,0.0
178,3.0,0.0,26.900000000000002,0.0,70.1,0.0
179,2.8000000000000003,0.0,26.6,0.0,70.6,0.0
180,2.7,0.0,26.5,0.0,70.8,0.0
181,2.6,0.0,26.6,0.0,70.8,0.0
182,2.5,0.0,26.400000000000002,0.0,71.1,0.0
183,2.5,0.0,26.0,0.0,71.5,0.0
184,2.5,0.0,25.8,0.0,71.7,0.0
185,2.4,0.0,25.8,0.0,71.8,0.0
186,2.3,0.0,25.8,0.0,71.89999999999999,0.0
187,2.1999999999999997,0.0,25.8,0.0,72.0,0.0
188,2.1999999999999997,0.0,25.4,0.0,72.39999999999999,0.0
189,2.1999999999999997,0.0,25.2,0.0,72.6,0.0
190,2.1,0.0,25.0,0.0,72.89999999999999,0.0
191,2.0,0.0,25.0,0.0,73.0,0.0
192,2.0,0.0,24.8,0.0,73.2,0.0
