,E_NS,E_S,H_NS,H_S,M_NS,M_S
0,65.5,0.0,32.2,0.0,2.3,0.0
1,64.1,0.2,33.300000000000004,0.1,2.3,0.0
2,62.7,0.6,33.800000000000004,0.4,2.3,0.2
3,60.699999999999996,0.8999999999999999,35.199999999999996,0.5,2.3,0.4
4,59.199999999999996,1.6,35.699999999999996,0.7000000000000001,2.3,0.5
5,57.199999999999996,2.3,36.0,1.3,2.1999999999999997,1.0
6,55.7,2.6,36.4,1.7999999999999998,2.1999999999999997,1.3
7,53.300000000000004,3.0,38.3,1.4000000000000001,2.5,1.5
8,51.6,3.2,39.0,1.9,2.6,1.7000000000000002
9,50.5,3.1,39.6,2.1999999999999997,2.8000000000000003,1.7999999999999998
10,49.0,3.3000000000000003,40.8,2.3,2.8000000000000003,1.7999999999999998
11,47.3,3.3000000000000003,42.199999999999996,2.4,2.9000000000000004,1.9
12,45.9,3.4000000000000004,43.2,2.3,3.0,2.1999999999999997
13,44.7,3.5000000000000004,43.7,2.4,3.3000000000000003,2.4
14,43.6,3.3000000000000003,44.4,2.3,3.5000000000000004,2.9000000000000004
15,42.0,3.4000000000000004,46.1,2.1,3.5000000000000004,2.9000000000000004
16,40.8,3.9,46.2,2.5,3.4000000000000004,3.2
17,39.800000000000004,3.6999999999999997,46.800000000000004,2.8000000000000003,3.4000000000000004,3.5000000000000004
18,38.9,3.4000000000000004,47.3,3.3000000000000003,3.5000000000000004,3.5999999999999996
19,37.9,3.3000000000000003,47.9,3.6999999999999997,3.5999999999999996,3.5999999999999996
20,36.6,3.8,48.4,3.5999999999999996,3.6999999999999997,3.9
21,35.0,3.6999999999999997,49.7,3.5000000000000004,3.9,4.2
22,34.2,3.6999999999999997,49.7,3.6999999999999997,4.2,4.5
23,32.800000000000004,3.8,51.0,3.5999999999999996,4.3,4.5
24,32.0,3.5000000000000004,51.300000000000004,3.5999999999999996,4.7,4.9
25,30.599999999999998,3.5000000000000004,51.9,4.0,4.9,5.1
26,29.799999999999997,3.4000000000000004,52.300000000000004,4.1000000000000005,5.1,5.3
